movie_title,year,place,star_cast,rating,vote,link
Up,2009,122,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.211292528336566,,/title/tt1049413/
Idi i smotri,1985,123,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.207909400214271,,/title/tt0091251/
LA Confidential,1997,124,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.20336572817615,,/title/tt0119488/
Heat,1995,125,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.201759283732335,,/title/tt0113277/
Monty Python and the Holy Grail,1975,126,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.1970417573035,,/title/tt0071853/
Die Hard,1988,127,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.194308269061983,,/title/tt0095016/
Rashômon,1950,128,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.192648744176957,,/title/tt0042876/
Yôjinbô,1961,129,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.190942390239467,,/title/tt0055630/
Batman Begins,2005,130,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.190335005587514,,/title/tt0372784/
Green Book,2018,131,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.187175095662715,,/title/tt6966692/
Der Untergang,2004,132,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.185469706149767,,/title/tt0363163/
Bacheha-Ye aseman,1997,133,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184342180432633,,/title/tt0118849/
Unforgiven,1992,134,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.182142035148289,,/title/tt0105695/
Some Like It Hot,1959,135,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.17584635417644,,/title/tt0053291/
Ran,1985,136,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.174595355079981,,/title/tt0089881/
Hauru no ugoku shiro,2004,137,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.167464301142626,,/title/tt0347149/
The Great Escape,1963,138,"John Sturges (dir.), Steve McQueen, James Garner",8.161487347032512,,/title/tt0057115/
All About Eve,1950,139,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.16121195869865,,/title/tt0042192/
A Beautiful Mind,2001,140,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.161200707928016,,/title/tt0268978/
Casino,1995,141,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.159767933902685,,/title/tt0112641/
Pan's Labyrinth,2006,142,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.15501756682163,,/title/tt0457430/
The Wolf of Wall Street,2013,143,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.153177348015445,,/title/tt0993846/
El secreto de sus ojos,2009,144,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.150741049019702,,/title/tt1305806/
"Lock, Stock and Two Smoking Barrels",1998,145,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.149137586258593,,/title/tt0120735/
Tonari no Totoro,1988,146,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.14877941688587,,/title/tt0096283/
Raging Bull,1980,147,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.148368626702664,,/title/tt0081398/
There Will Be Blood,2007,148,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.142736473087854,,/title/tt0469494/
The Treasure of the Sierra Madre,1948,149,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.140340125116708,,/title/tt0040897/
Judgment at Nuremberg,1961,150,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.13951156219334,,/title/tt0055031/
Babam ve Oglum,2005,151,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.132597131265955,,/title/tt0476735/
"Three Billboards Outside Ebbing, Missouri",2017,152,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.132502865064943,,/title/tt5027774/
Dial M for Murder,1954,153,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.131973637406661,,/title/tt0046912/
The Gold Rush,1925,154,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.130962811033578,,/title/tt0015864/
Chinatown,1974,155,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1301435105837,,/title/tt0071315/
V for Vendetta,2005,156,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.124990870137664,,/title/tt0434409/
No Country for Old Men,2007,157,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.124539435250526,,/title/tt0477348/
Shutter Island,2010,158,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.12357668538628,,/title/tt1130884/
Det sjunde inseglet,1957,159,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.123536246860779,,/title/tt0050976/
Inside Out,2015,160,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.121787405871151,,/title/tt2096673/
Warrior,2011,161,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.120058393521019,,/title/tt1291584/
The Elephant Man,1980,162,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.116958783743174,,/title/tt0080678/
Trainspotting,1996,163,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.116585920886411,,/title/tt0117951/
The Sixth Sense,1999,164,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.115271919353813,,/title/tt0167404/
The Thing,1982,165,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.114172107269544,,/title/tt0084787/
Jurassic Park,1993,166,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.110162912210365,,/title/tt0107290/
Gone with the Wind,1939,167,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.107760930065103,,/title/tt0031381/
Smultronstället,1957,168,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.10638981054271,,/title/tt0050986/
Blade Runner,1982,169,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.105198176946866,,/title/tt0083658/
Finding Nemo,2003,170,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.104298830286565,,/title/tt0266543/
Room,2015,171,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.103988849724885,,/title/tt3170832/
The Truman Show,1998,172,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.10341064082508,,/title/tt0120382/
The Bridge on the River Kwai,1957,173,"David Lean (dir.), William Holden, Alec Guinness",8.102325492609767,,/title/tt0050212/
Stalker,1979,174,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.101928589036657,,/title/tt0079944/
Kill Bill: Vol 1,2003,175,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.100505337027778,,/title/tt0266697/
Fargo,1996,176,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.099029903445274,,/title/tt0116282/
The Third Man,1949,177,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.097458104461996,,/title/tt0041959/
On the Waterfront,1954,178,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.09737579220485,,/title/tt0047296/
Gran Torino,2008,179,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.095936615330737,,/title/tt1205489/
Tôkyô monogatari,1953,180,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.095806741507312,,/title/tt0046438/
Salinui chueok,2003,181,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.094417356648368,,/title/tt0353969/
The Deer Hunter,1978,182,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.093214651086733,,/title/tt0077416/
Relatos salvajes,2014,183,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.091898233733982,,/title/tt3011894/
Andhadhun,2018,184,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.0888016121662,,/title/tt8108198/
Klaus,2019,185,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.087708773150501,,/title/tt4729430/
In the Name of the Father,1993,186,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.08493575029205,,/title/tt0107207/
Mary and Max,2009,187,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.084455489224412,,/title/tt0978762/
Eskiya,1996,188,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.082523344624082,,/title/tt0116231/
The Big Lebowski,1998,189,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.082501198713423,,/title/tt0118715/
Gone Girl,2014,190,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.081850880309238,,/title/tt2267998/
Hacksaw Ridge,2016,191,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.08091416883679,,/title/tt2119532/
The Grand Budapest Hotel,2014,192,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.08035816794861,,/title/tt2278388/
